random_ID,ID,birth_date,vis_RT_med,ac_RT_med,vis_dec_RT_med,vis_dec_ACC,vis_dec_score
7021335265.0,4001,1997.02.05,0.22010000000000002,0.25569,,,
5529060175.0,1002,1996.01.18,0.268,0.3135,0.853,0.9076923076923077,0.9212615384615385
8206017876.0,1001,1998.09.30,0.258585,0.3431975,0.7211449999999999,0.9552238805970149,0.9677099253731343
3172100208.0,3002,1999.12.25,0.2418825,0.254905,0.9795575,0.896551724137931,0.8986664655172414
1618731555.0,2302,1991.11.19,0.288,0.273,,,
3221385047.0,3304,1997.07.09,0.36978999999999995,0.2861025,1.34012,0.918918918918919,0.8913416216216217
7407198448.0,1303,1996.04.15,0.2932475,0.2587575,0.789925,0.9411764705882353,0.9535338235294117
8119313209.0,1305,2000.05.16,0.26129749999999996,0.2870975,1.01623,0.9,0.898377
9432799901.0,1304,1992.07.18,0.3054525,0.339685,1.04789,0.8571428571428571,0.8503014285714285
4624441231.0,2301,1999.05.12,0.2813325,0.302805,0.9155075,0.8571428571428571,0.8692132142857143
5212545026.0,1302,1999.03.17,0.31767999999999996,0.2683175,1.497555,0.90625,0.85960421875
7773402148.0,1306,1993.07.29,0.28173000000000004,0.31561249999999996,0.827435,0.896551724137931,0.9144032758620689
3992294106.0,3306,2000.10.19,0.2511825,0.25023249999999997,0.909475,0.9322033898305084,0.9383406779661017
3104691842.0,3305,1973.09.29,0.30926750000000003,0.2711525,1.03579,0.8867924528301887,0.8827407547169812
2320805823.0,1307,1996.02.19,0.3187675,0.4034575,1.004795,0.7547169811320755,0.7535408490566038
2012046787.0,3301,1992.09.07,0.280265,0.2961825,0.83524,0.8939393939393939,0.9114139393939393
4303263022.0,2306,2000.01.27,0.26153499999999996,0.262375,0.7941849999999999,0.8923076923076924,0.9144723846153846
7246066624.0,3308,1993.01.18,0.2701075,0.27024499999999996,0.7849175,0.8285714285714286,0.8654427142857143
4749998163.0,3307,1999.12.11,0.3115075,0.29820500000000005,0.81493,0.9701492537313433,0.9756737313432836
4322150497.0,2001,1999.09.07,0.2685875,0.30921750000000003,0.843385,0.9090909090909091,0.9233286363636364
1429979437.0,1310,1991.07.04,0.26915,0.2721875,0.8032175,0.90625,0.924698359375
8142120721.0,3004,2001.04.12,0.25,0.2595,0.78,0.9393939393939394,0.9527272727272728
6775156085.0,2309,1972.05.12,0.26643,0.31192,1.2909,0.9736842105263158,0.966028947368421
3414396942.0,1309,1998.03.24,0.279115,0.28608999999999996,0.699315,0.881578947368421,0.9171863815789474
